access	author	category	consortium	filename	id	mr	ncase	ncontrol	note	nsnp	path	pmid	population	priority	sample_size	sd	sex	subcategory	trait	unit	year
public	Roederer	Immune system	NA	GWA_P4_5567.txt.gz.tab	252	1	NA	NA	Female twins	1627721	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	0.227066902	Females	Immune cell subset frequency	NKearly:%337+335+2-	%	2015
public	Roederer	Immune system	NA	GWA_P5_CD8_118.txt.gz.tab	253	1	NA	NA	Female twins	1624910	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	3.713235804	Females	Immune cell subset frequency	CD8:%TM (1)	%	2015
public	Roederer	Immune system	NA	GWA_P5_CD8_165.txt.gz.tab	254	1	NA	NA	Female twins	1623131	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	14.64259575	Females	Immune cell subset frequency	CD8:%R5+	%	2015
public	Roederer	Immune system	NA	GWA_P5_CD8_209.txt.gz.tab	255	1	NA	NA	Female twins	1624296	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	2.955423164	Females	Immune cell subset frequency	CD8:%TM (2)	%	2015
public	Roederer	Immune system	NA	GWA_P5_gd_1329.txt.gz.tab	256	1	NA	NA	Female twins	1628002	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	0.47186826	Females	Immune cell subset frequency	GdT:%CM (1)	%	2015
public	Roederer	Immune system	NA	GWA_P5_gd_1783.txt.gz.tab	257	1	NA	NA	Female twins	1627844	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	8.232757253	Females	Immune cell subset frequency	GdT:%CM (2)	%	2015
public	Roederer	Immune system	NA	GWA_P5_NKT_216.txt.gz.tab	258	1	NA	NA	Female twins	1625872	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	7.303020716	Females	Immune cell subset frequency	NKT:%TM	%	2015
public	Roederer	Immune system	NA	GWA_P6_106.txt.gz.tab	259	1	NA	NA	Female twins	1625155	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	15.52679752	Females	Immune cell subset frequency	IgE+B:%27+	%	2015
public	Morris	Disease	DIAGRAM	DIAGRAMv3.2012DEC17.txt.tab.all_pos	26	1	12171	56862	Effect allele frequencies are missing; forward strand	2473442	/projects/MRC-IEU/publicdata/GWAS_summary_data/DIAGRAM	22885922	European	2	69033	NA	Males and females	Diabetes	Type 2 diabetes	log odds	2012
public	Roederer	Immune system	NA	GWA_P6_112.txt.gz.tab	260	1	NA	NA	Female twins	1626489	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	5.093421096	Females	Immune cell subset frequency	IgE+B:%27+20-38+	%	2015
public	Roederer	Immune system	NA	GWA_P6_301.txt.gz.tab	261	1	NA	NA	Female twins	1624000	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	15.99801905	Females	Immune cell subset frequency	IgG+B:%27+	%	2015
public	Roederer	Immune system	NA	GWA_P6_305.txt.gz.tab	262	1	NA	NA	Female twins	1624651	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	7.303497455	Females	Immune cell subset frequency	IgG+B:%20+24+27+	%	2015
public	Roederer	Immune system	NA	GWA_P6_earlyB_114.txt.gz.tab	263	1	NA	NA	Female twins	1625454	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	4.330506166	Females	Immune cell subset frequency	EarlyB:%27+38-	%	2015
public	Roederer	Immune system	NA	GWA_P6_earlyB_141.txt.gz.tab	264	1	NA	NA	Female twins	1625172	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	5.866339362	Females	Immune cell subset frequency	EarlyB:%27+	%	2015
public	Roederer	Immune system	NA	GWA_P7_100.txt.gz.tab	265	1	NA	NA	Female twins	1623131	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	11.21670771	Females	Immune cell subset frequency	MDC:%64-274-	%	2015
public	Roederer	Immune system	NA	GWA_P7_110.txt.gz.tab	266	1	NA	NA	Female twins	1623131	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	33.58928882	Females	Immune cell subset frequency	MDC:%32+	%	2015
public	Roederer	Immune system	NA	GWA_P7_211.txt.gz.tab	267	1	NA	NA	Female twins	1623131	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	13.43647186	Females	Immune cell subset frequency	MDCL%274+	%	2015
public	Roederer	Immune system	NA	GWA_P7_224.txt.gz.tab	268	1	NA	NA	Female twins	1623131	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	18.89060944	Females	Immune cell subset frequency	1c+mDC:%32+	%	2015
public	Roederer	Immune system	NA	GWA_P7_Mono_4134.txt.gz.tab	269	1	NA	NA	Female twins	1624848	/projects/MRC-IEU/publicdata/GWAS_summary_data/ImmuneCellScience/2-GWASResults	25772697	European	1	497	0.766743627	Females	Immune cell subset frequency	Mono:%11c-16-274+	%	2015
public	Horikoshi M	Risk factor	EGG	EGG_BW2_DISCOVERY.txt.gz.tab	27	1	NA	NA	Effect allele frequencies are missing	2684394	/projects/MRC-IEU/publicdata/GWAS_summary_data/EGG	23202124	European	1	26836	547.5342207	Males and females	Anthropometric	Birth weight	g	2013
public	van der Harst P	Risk factor	HaemGen	HaemGenRBC_Hb.txt.tab	270	1	NA	NA	Effect allele frequencies are missing	2593079	/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits	23222517	Mixed	1	71861	1.276364658	Males and females	Haemotological	Haemoglobin concentration	g/dL	2012
public	van der Harst P	Risk factor	HaemGen	HaemGenRBC_MCH.txt.tab	271	1	NA	NA	Effect allele frequencies are missing	2586785	/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits	23222517	Mixed	1	64731	1.987577737	Males and females	Haemotological	Mean cell haemoglobin	pg	2012
public	van der Harst P	Risk factor	HaemGen	HaemGenRBC_MCHC.txt.tab	272	1	NA	NA	Effect allele frequencies are missing	2588876	/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits	23222517	Mixed	1	67852	1.013212303	Males and females	Haemotological	Mean cell haemoglobin concentration	g/dL	2012
public	van der Harst P	Risk factor	HaemGen	HaemGenRBC_MCV.txt.tab	273	1	NA	NA	Effect allele frequencies are missing	2591133	/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits	23222517	Mixed	1	69335	5.193532933	Males and females	Haemotological	Mean cell volume	fl	2012
public	van der Harst P	Risk factor	HaemGen	HaemGenRBC_PCV.txt.tab	274	1	NA	NA	Effect allele frequencies are missing	2591080	/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits	23222517	Mixed	1	63511	5.9	Males and females	Haemotological	Packed cell volume	%	2012
public	van der Harst P	Risk factor	HaemGen	HaemGenRBC_RBC.txt.tab	275	1	NA	NA	Effect allele frequencies are missing	2589455	/projects/MRC-IEU/publicdata/GWAS_summary_data/haemotological_traits	23222517	Mixed	1	66214	0.48	Males and females	Haemotological	Red blood cell count	10^12/L	2012
public	Dubois PC	Disease	NA	hg19_gwas_cel_dubois_4_19_1.tab	276	1	4533	10750	Effect allele frequencies are missing	523399	/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase	20190752	European	1	15283	NA	Males and females	Autoimmune / inflammatory	Celiac disease	log odds	2010
public	Taal HR	Risk factor	EGG	EGG_HC_DISCOVERY.txt.gz.tab	28	1	NA	NA	NA	2449807	/projects/MRC-IEU/publicdata/GWAS_summary_data/EGG	22504419	European	1	10768	1.519535027	Males and females	Anthropometric	Infant head circumference	SD (cm)	2012
public	van der Valk RJ	Risk factor	EGG	EGG-GWAS-BL.txt.gz.tab	29	1	NA	NA	Effect allele frequencies are missing	2201972	/projects/MRC-IEU/publicdata/GWAS_summary_data/EGG	25281659	European	1	28459	1.96	Males and females	Anthropometric	Birth length	SD (cm)	2015
public	Jostins L	Disease	IIBDGC	IBD.gwas_ichip_meta_release.txt.gz.tab	292	1	NA	NA	NA	14378	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	23128233	European	1	75000	NA	Males and females	Autoimmune / inflammatory	Inflammatory bowel disease	log odds	2012
public	Liu	Disease	IIBDGC	IBD_trans_ethnic_association_summ_stats_b37.txt.gz.EAS.tab	293	1	2824	3719	NA	157116	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	East Asian	1	6543	NA	Males and females	Autoimmune / inflammatory	Inflammatory bowel disease	log odds	2015
public	Liu	Disease	IIBDGC	IBD_trans_ethnic_association_summ_stats_b37.txt.gz.Euro.tab	294	1	31665	33977	NA	157116	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	European	1	65642	NA	Males and females	Autoimmune / inflammatory	Inflammatory bowel disease	log odds	2015
public	Liu	Disease	IIBDGC	IBD_trans_ethnic_association_summ_stats_b37.txt.gz.IND.tab	295	1	1423	990	NA	157116	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	Indian	1	2413	NA	Males and females	Autoimmune / inflammatory	Inflammatory bowel disease	log odds	2015
public	Liu	Disease	IIBDGC	IBD_trans_ethnic_association_summ_stats_b37.txt.gz.IRA.tab	296	1	548	342	NA	157116	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	Iranian	1	890	NA	Males and females	Autoimmune / inflammatory	Inflammatory bowel disease	log odds	2015
public	Lambert	Disease	IGAP	IGAP_stage_1.txt.gz.tab	297	1	17008	37154	Effect allele frequencies are missing; forward(+) strand	7055882	/projects/MRC-IEU/publicdata/GWAS_summary_data/IGAP	24162737	European	2	54162	NA	Males and females	Psychiatric / neurological	Alzheimers disease	log odds	2013
public	Lambert	Disease	IGAP	IGAP_stage_1_2_combined.txt.gz.tab	298	1	25580	48466	Exposure only; Effect allele frequencies are missing; forward(+) strand	11633	/projects/MRC-IEU/publicdata/GWAS_summary_data/IGAP	24162737	European	1	74046	NA	Males and females	Psychiatric / neurological	Alzheimers disease	log odds	2013
public	Willer CJ	Risk factor	GLGC	jointGwasMc_HDL.txt.tab.all_pos	299	1	NA	NA	NA	2447442	/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc	24097068	Mixed	1	187167	15.51018433	Males and females	Lipid	HDL cholesterol	SD (mg/dL)	2013
public	Fritsche LG	Disease	AMDGene	AMDGene2013_Advanced_v_Controls.txt.gz.tab.all_pos.all_neg	3	0	7650	51844	Only P-values available	2422876	/projects/MRC-IEU/publicdata/GWAS_summary_data/AMDGC	23455636	Mixed	1	59494	NA	Males and females	Eye	Advanced age related macular degeneration	log odds	2013
public	Liu	Disease	IIBDGC	EUR.CD.gwas.assoc.gz.tab	30	1	5956	14927	NA	12276506	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	European	1	20883	NA	Males and females	Autoimmune / inflammatory	Crohns disease	log odds	2015
public	Willer CJ	Risk factor	GLGC	jointGwasMc_LDL.txt.tab.all_pos	300	1	NA	NA	NA	2437752	/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc	24097068	Mixed	1	173082	38.6745912	Males and females	Lipid	LDL cholesterol	SD (mg/dL)	2013
public	Willer CJ	Risk factor	GLGC	jointGwasMc_TC.txt.tab.all_pos	301	1	NA	NA	NA	2446982	/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc	24097068	Mixed	1	187365	41.75071927	Males and females	Lipid	Total cholesterol	SD (mg/dL)	2013
public	Willer CJ	Risk factor	GLGC	jointGwasMc_TG.txt.tab.all_pos	302	1	NA	NA	NA	2439433	/projects/MRC-IEU/publicdata/GWAS_summary_data/glgc	24097068	Mixed	1	177861	90.72424257	Males and females	Lipid	Triglycerides	SD (mg/dL)	2013
public	Shin	Metabolites	NA	M00053.metal.pos.txt.gz.tab	303	1	NA	NA	NA	2545661	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7821	0.056572351	Males and females	Amino acid	Glutamine	log10 units	2014
public	Shin	Metabolites	NA	M00054.metal.pos.txt.gz.tab	304	1	NA	NA	NA	2545641	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7804	0.067101494	Males and females	Amino acid	Tryptophan	log10 units	2014
public	Shin	Metabolites	NA	M00059.metal.pos.txt.gz.tab	305	1	NA	NA	NA	2545665	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7804	0.05705308	Males and females	Amino acid	Histidine	log10 units	2014
public	Shin	Metabolites	NA	M00060.metal.pos.txt.gz.tab	306	1	NA	NA	NA	2545655	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7799	0.069058287	Males and females	Amino acid	Leucine	log10 units	2014
public	Shin	Metabolites	NA	M00063.metal.pos.txt.gz.tab	307	1	NA	NA	NA	2545608	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7813	0.09395791	Males and females	Lipid	Cholesterol	log10 units	2014
public	Shin	Metabolites	NA	M00064.metal.pos.txt.gz.tab	308	1	NA	NA	NA	2545599	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7803	0.056117786	Males and females	Amino acid	Phenylalanine	log10 units	2014
public	Shin	Metabolites	NA	M00513.metal.pos.txt.gz.tab	309	1	NA	NA	NA	2545671	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7810	0.078003037	Males and females	Amino acid	Creatinine	log10 units	2014
public	Liu	Disease	IIBDGC	EUR.IBD.gwas.assoc.gz.tab	31	1	12882	21770	NA	12716084	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	European	1	34652	NA	Males and females	Autoimmune / inflammatory	Inflammatory bowel disease	log odds	2015
public	Shin	Metabolites	NA	M00527.metal.pos.txt.gz.tab	310	1	NA	NA	NA	2545582	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7814	0.118465881	Males and females	Carbohydrate	Lactate	log10 units	2014
public	Shin	Metabolites	NA	M00542.metal.pos.txt.gz.tab	311	1	NA	NA	NA	2545615	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7820	0.389157474	Males and females	Lipid	3-hydroxybutyrate (BHBA)	log10 units	2014
public	Shin	Metabolites	NA	M00575.metal.pos.txt.gz.tab	312	1	NA	NA	NA	2545100	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	5889	0.168878247	Males and females	Carbohydrate	Arabinose	log10 units	2014
public	Shin	Metabolites	NA	M00577.metal.pos.txt.gz.tab	313	1	NA	NA	NA	2545462	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7781	0.205773807	Males and females	Carbohydrate	Fructose	log10 units	2014
public	Shin	Metabolites	NA	M00584.metal.pos.txt.gz.tab	314	1	NA	NA	NA	2545645	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7793	0.125488532	Males and females	Carbohydrate	Mannose	log10 units	2014
public	Shin	Metabolites	NA	M00599.metal.pos.txt.gz.tab	315	1	NA	NA	NA	2545596	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7682	0.204841509	Males and females	Carbohydrate	Pyruvate	log10 units	2014
public	Shin	Metabolites	NA	M00606.metal.pos.txt.gz.tab	316	1	NA	NA	NA	2545676	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7800	0.080584202	Males and females	Nucleotide	Uridine	log10 units	2014
public	Shin	Metabolites	NA	M01105.metal.pos.txt.gz.tab	317	1	NA	NA	NA	2545642	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7780	0.133458142	Males and females	Fatty acid	Linoleate (18:2n6)	log10 units	2014
public	Shin	Metabolites	NA	M01107.metal.pos.txt.gz.tab	318	1	NA	NA	NA	2542981	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	5705	0.20821277	Males and females	Nucleotide	Allantoin	log10 units	2014
public	Shin	Metabolites	NA	M01110.metal.pos.txt.gz.tab	319	1	NA	NA	NA	2545690	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7816	0.119155972	Males and females	Fatty acid	Arachidonate (20:4n6)	log10 units	2014
public	Liu	Disease	IIBDGC	EUR.UC.gwas.assoc.gz.tab	32	1	6968	20464	NA	12255197	/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD	26192919	European	1	27432	NA	Males and females	Autoimmune / inflammatory	Ulcerative colitis	log odds	2015
public	Shin	Metabolites	NA	M01114.metal.pos.txt.gz.tab	320	1	NA	NA	NA	2546027	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	5194	0.314883667	Males and females	Lipid	Deoxycholate	log10 units	2014
public	Shin	Metabolites	NA	M01121.metal.pos.txt.gz.tab	321	1	NA	NA	NA	2545661	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7796	0.16621793	Males and females	Fatty acid	Margarate (17:0)	log10 units	2014
public	Shin	Metabolites	NA	M01123.metal.pos.txt.gz.tab	322	1	NA	NA	NA	2545601	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	2675	0.381968471	Males and females	Nucleotide	Inosine	log10 units	2014
public	Shin	Metabolites	NA	M01125.metal.pos.txt.gz.tab	323	1	NA	NA	NA	2545655	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7801	0.076829416	Males and females	Amino acid	Isoleucine	log10 units	2014
public	Shin	Metabolites	NA	M01284.metal.pos.txt.gz.tab	324	1	NA	NA	NA	2545896	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	6020	0.116675454	Males and females	Amino acid	Threonine	log10 units	2014
public	Shin	Metabolites	NA	M01299.metal.pos.txt.gz.tab	325	1	NA	NA	NA	2545613	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7807	0.088617469	Males and females	Amino acid	Tyrosine	log10 units	2014
public	Shin	Metabolites	NA	M01301.metal.pos.txt.gz.tab	326	1	NA	NA	NA	2545686	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7812	0.084879444	Males and females	Amino acid	Lysine	log10 units	2014
public	Shin	Metabolites	NA	M01302.metal.pos.txt.gz.tab	327	1	NA	NA	NA	2545691	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7795	0.071195636	Males and females	Amino acid	Methionine	log10 units	2014
public	Shin	Metabolites	NA	M01303.metal.pos.txt.gz.tab	328	1	NA	NA	NA	2545374	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7384	0.142386455	Males and females	Energy	Malate	log10 units	2014
public	Shin	Metabolites	NA	M01336.metal.pos.txt.gz.tab	329	1	NA	NA	NA	2545680	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7800	0.110022958	Males and females	Fatty acid	Palmitate (16:0)	log10 units	2014
public	Shin	Metabolites	NA	M01356.metal.pos.txt.gz.tab	330	1	NA	NA	NA	2545571	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7783	0.143906656	Males and females	Fatty acid	Nonadecanoate (19:0)	log10 units	2014
public	Shin	Metabolites	NA	M01358.metal.pos.txt.gz.tab	331	1	NA	NA	NA	2545698	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7803	0.10720202	Males and females	Fatty acid	Stearate (18:0)	log10 units	2014
public	Shin	Metabolites	NA	M01359.metal.pos.txt.gz.tab	332	1	NA	NA	NA	2545670	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7768	0.133492983	Males and females	Fatty acid	Oleate (18:1n9)	log10 units	2014
public	Shin	Metabolites	NA	M01361.metal.pos.txt.gz.tab	333	1	NA	NA	NA	2545826	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7502	0.137187975	Males and females	Fatty acid	Pentadecanoate (15:0)	log10 units	2014
public	Shin	Metabolites	NA	M01365.metal.pos.txt.gz.tab	334	1	NA	NA	NA	2545661	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7811	0.140218024	Males and females	Fatty acid	Myristate (14:0)	log10 units	2014
public	Shin	Metabolites	NA	M01444.metal.pos.txt.gz.tab	335	1	NA	NA	NA	2545476	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7792	0.214133707	Males and females	Amino acid	Pipecolate	log10 units	2014
public	Shin	Metabolites	NA	M01493.metal.pos.txt.gz.tab	336	1	NA	NA	NA	2545669	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7746	0.131288386	Males and females	Amino acid	Ornithine	log10 units	2014
public	Shin	Metabolites	NA	M01494.metal.pos.txt.gz.tab	337	1	NA	NA	NA	2545584	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7802	0.100777409	Males and females	Amino acid	5-oxoproline	log10 units	2014
public	Shin	Metabolites	NA	M01508.metal.pos.txt.gz.tab	338	1	NA	NA	NA	2545928	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7604	0.152918963	Males and females	Cofactors and vitamins	Pantothenate	log10 units	2014
public	Shin	Metabolites	NA	M01558.metal.pos.txt.gz.tab	339	1	NA	NA	NA	2545566	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	6930	0.10381146	Males and females	Amino acid	4-acetamidobutanoate	log10 units	2014
public	Shin	Metabolites	NA	M01561.metal.pos.txt.gz.tab	340	1	NA	NA	NA	2545636	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7725	0.177730539	Males and females	Cofactors and vitamins	Alpha-tocopherol	log10 units	2014
public	Shin	Metabolites	NA	M01564.metal.pos.txt.gz.tab	341	1	NA	NA	NA	2545557	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7813	0.110731725	Males and females	Energy	Citrate	log10 units	2014
public	Shin	Metabolites	NA	M01572.metal.pos.txt.gz.tab	342	1	NA	NA	NA	2545821	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7778	0.131902946	Males and females	Carbohydrate	Glycerate	log10 units	2014
public	Shin	Metabolites	NA	M01573.metal.pos.txt.gz.tab	343	1	NA	NA	NA	2545643	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	2343	0.237106718	Males and females	Nucleotide	Guanosine	log10 units	2014
public	Shin	Metabolites	NA	M01585.metal.pos.txt.gz.tab	344	1	NA	NA	NA	2546012	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7720	0.080013556	Males and females	Amino acid	N-acetylalanine	log10 units	2014
public	Shin	Metabolites	NA	M01604.metal.pos.txt.gz.tab	345	1	NA	NA	NA	2545644	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7819	0.086959786	Males and females	Nucleotide	Urate	log10 units	2014
public	Shin	Metabolites	NA	M01605.metal.pos.txt.gz.tab	346	1	NA	NA	NA	2543395	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	5477	0.301369321	Males and females	Lipid	Ursodeoxycholate	log10 units	2014
public	Shin	Metabolites	NA	M01638.metal.pos.txt.gz.tab	347	1	NA	NA	NA	2545579	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7528	0.148375451	Males and females	Amino acid	Arginine	log10 units	2014
public	Shin	Metabolites	NA	M01640.metal.pos.txt.gz.tab	348	1	NA	NA	NA	2545101	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	2085	0.341135935	Males and females	Cofactors and vitamins	Ascorbate (Vitamin C)	log10 units	2014
public	Shin	Metabolites	NA	M01644.metal.pos.txt.gz.tab	349	1	NA	NA	NA	2545680	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7802	0.12093427	Males and females	Fatty acid	Heptanoate (7:0)	log10 units	2014
public	Shin	Metabolites	NA	M01645.metal.pos.txt.gz.tab	350	1	NA	NA	NA	2545672	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7793	0.109650784	Males and females	Fatty acid	Laurate (12:0)	log10 units	2014
public	Shin	Metabolites	NA	M01649.metal.pos.txt.gz.tab	351	1	NA	NA	NA	2545654	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7808	0.063261642	Males and females	Amino acid	Valine	log10 units	2014
public	Shin	Metabolites	NA	M01670.metal.pos.txt.gz.tab	352	1	NA	NA	NA	2545595	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7796	0.134246217	Males and females	Amino acid	Urea	log10 units	2014
public	Shin	Metabolites	NA	M01712.metal.pos.txt.gz.tab	353	1	NA	NA	NA	2545612	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7795	0.174540273	Males and females	Lipid	Cortisol	log10 units	2014
public	Shin	Metabolites	NA	M01769.metal.pos.txt.gz.tab	354	1	NA	NA	NA	2545383	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7575	0.110202837	Males and females	Lipid	Cortisone	log10 units	2014
public	Shin	Metabolites	NA	M01898.metal.pos.txt.gz.tab	355	1	NA	NA	NA	2545669	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7816	0.109557641	Males and females	Amino acid	Proline	log10 units	2014
public	Shin	Metabolites	NA	M02132.metal.pos.txt.gz.tab	356	1	NA	NA	NA	2545760	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7773	0.107779196	Males and females	Amino acid	Citrulline	log10 units	2014
public	Shin	Metabolites	NA	M02137.metal.pos.txt.gz.tab	357	1	NA	NA	NA	2544635	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	6686	0.197007031	Males and females	Cofactors and vitamins	Biliverdin	log10 units	2014
public	Shin	Metabolites	NA	M02342.metal.pos.txt.gz.tab	358	1	NA	NA	NA	2545835	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	6139	0.180099126	Males and females	Amino acid	Serotonin (5HT)	log10 units	2014
public	Shin	Metabolites	NA	M02730.metal.pos.txt.gz.tab	359	1	NA	NA	NA	2545682	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7662	0.125581957	Males and females	Peptide	Gamma-glutamylglutamine	log10 units	2014
public	Shin	Metabolites	NA	M02734.metal.pos.txt.gz.tab	360	1	NA	NA	NA	2545559	/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome	24816252	European	1	7468	0.111844015	Males and females	Peptide	Gamma-glutamyltyrosine	log10 units	2014
