"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"913","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.HDL.TG.txt.tab","Triglycerides in small HDL",21558,NA,NA,11871440,923,"Metabolites","Males and females","metabolites__triglycerides_in_small_hdl.txt.gz"
"922","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.VLDL.TG.txt.tab","Triglycerides in small VLDL",21558,NA,NA,11859725,932,"Metabolites","Males and females","metabolites__triglycerides_in_small_vldl.txt.gz"
"917","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.VLDL.C.txt.tab","Total cholesterol in small VLDL",21557,NA,NA,11856411,927,"Metabolites","Males and females","metabolites__total_cholesterol_in_small_vldl.txt.gz"
"914","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.LDL.C.txt.tab","Total cholesterol in small LDL",21556,NA,NA,11871461,924,"Metabolites","Males and females","metabolites__total_cholesterol_in_small_ldl.txt.gz"
"854","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_HDL.C.txt.tab","Total cholesterol in HDL",21555,NA,NA,11865530,864,"Metabolites","Males and females","metabolites__total_cholesterol_in_hdl.txt.gz"
"872","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.LDL.FC.txt.tab","Free cholesterol in large LDL",21555,NA,NA,11871425,882,"Metabolites","Males and females","metabolites__free_cholesterol_in_large_ldl.txt.gz"
"870","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.LDL.C.txt.tab","Total cholesterol in large LDL",21552,NA,NA,11871461,880,"Metabolites","Males and females","metabolites__total_cholesterol_in_large_ldl.txt.gz"
"899","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.C.txt.tab","Total cholesterol in medium VLDL",21551,NA,NA,11871461,909,"Metabolites","Males and females","metabolites__total_cholesterol_in_medium_vldl.txt.gz"
"921","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.VLDL.PL.txt.tab","Phospholipids in small VLDL",21551,NA,NA,11866342,931,"Metabolites","Males and females","metabolites__phospholipids_in_small_vldl.txt.gz"
"875","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.LDL.PL.txt.tab","Phospholipids in large LDL",21550,NA,NA,11871461,885,"Metabolites","Males and females","metabolites__phospholipids_in_large_ldl.txt.gz"
"942","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.VLDL.TG.txt.tab","Triglycerides in very large VLDL",21548,NA,NA,11814232,952,"Metabolites","Males and females","metabolites__triglycerides_in_very_large_vldl.txt.gz"
"924","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Serum.TG.txt.tab","Serum total triglycerides",21545,NA,NA,11871391,934,"Metabolites","Males and females","metabolites__serum_total_triglycerides.txt.gz"
"934","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.FC.txt.tab","Free cholesterol in very large HDL",21542,NA,NA,11871391,944,"Metabolites","Males and females","metabolites__free_cholesterol_in_very_large_hdl.txt.gz"
"949","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XXL.VLDL.PL.txt.tab","Phospholipids in chylomicrons and largest VLDL particles",21542,NA,NA,11871391,959,"Metabolites","Males and females","metabolites__phospholipids_in_chylomicrons_and_largest_vldl_particles.txt.gz"
"932","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.C.txt.tab","Total cholesterol in very large HDL",21540,NA,NA,11870684,942,"Metabolites","Males and females","metabolites__total_cholesterol_in_very_large_hdl.txt.gz"
"950","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XXL.VLDL.TG.txt.tab","Triglycerides in chylomicrons and largest VLDL particles",21540,NA,NA,11843388,960,"Metabolites","Males and females","metabolites__triglycerides_in_chylomicrons_and_largest_vldl_particles.txt.gz"
"938","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.TG.txt.tab","Triglycerides in very large HDL",21536,NA,NA,11871386,948,"Metabolites","Males and females","metabolites__triglycerides_in_very_large_hdl.txt.gz"
"923","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Serum.C.txt.tab","Serum total cholesterol",21491,NA,NA,11855845,933,"Metabolites","Males and females","metabolites__serum_total_cholesterol.txt.gz"
"905","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.TG.txt.tab","Triglycerides in medium VLDL",21241,NA,NA,11766530,915,"Metabolites","Males and females","metabolites__triglycerides_in_medium_vldl.txt.gz"
"901","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.FC.txt.tab","Free cholesterol in medium VLDL",21240,NA,NA,11766527,911,"Metabolites","Males and females","metabolites__free_cholesterol_in_medium_vldl.txt.gz"
"904","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.PL.txt.tab","Phospholipids in medium VLDL",21240,NA,NA,11766530,914,"Metabolites","Males and females","metabolites__phospholipids_in_medium_vldl.txt.gz"
"881","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.VLDL.PL.txt.tab","Phospholipids in large VLDL",21239,NA,NA,11722347,891,"Metabolites","Males and females","metabolites__phospholipids_in_large_vldl.txt.gz"
"882","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.VLDL.TG.txt.tab","Triglycerides in large VLDL",21239,NA,NA,11753671,892,"Metabolites","Males and females","metabolites__triglycerides_in_large_vldl.txt.gz"
"878","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.VLDL.FC.txt.tab","Free cholesterol in large VLDL",21238,NA,NA,11766529,888,"Metabolites","Males and females","metabolites__free_cholesterol_in_large_vldl.txt.gz"
"941","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.VLDL.PL.txt.tab","Phospholipids in very large VLDL",21237,NA,NA,11759843,951,"Metabolites","Males and females","metabolites__phospholipids_in_very_large_vldl.txt.gz"
"876","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.VLDL.C.txt.tab","Total cholesterol in large VLDL",21235,NA,NA,11738380,886,"Metabolites","Males and females","metabolites__total_cholesterol_in_large_vldl.txt.gz"
"30","/projects/MRC-IEU/publicdata/GWAS_summary_data/IBD","EUR.CD.gwas.assoc.gz.tab","Crohn's disease",20883,5956,14927,12276506,30,"Disease","Males and females","disease__crohns_disease.txt.gz"
"833","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_ApoB.txt.tab","Apolipoprotein B",20690,NA,NA,11813266,843,"Metabolites","Males and females","metabolites__apolipoprotein_b.txt.gz"
"832","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_ApoA1.txt.tab","Apolipoprotein A-I",20687,NA,NA,11760646,842,"Metabolites","Males and females","metabolites__apolipoprotein_ai.txt.gz"
"851","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Glol.txt.tab","Glycerol",20235,NA,NA,11360671,861,"Metabolites","Males and females","metabolites__glycerol.txt.gz"
"855","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_HDL.D.txt.tab","Mean diameter for HDL particles",19273,NA,NA,11803445,865,"Metabolites","Males and females","metabolites__mean_diameter_for_hdl_particles.txt.gz"
"857","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_IDL.C.txt.tab","Total cholesterol in IDL",19273,NA,NA,11820655,867,"Metabolites","Males and females","metabolites__total_cholesterol_in_idl.txt.gz"
"859","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_IDL.L.txt.tab","Total lipids in IDL",19273,NA,NA,11820646,869,"Metabolites","Males and females","metabolites__total_lipids_in_idl.txt.gz"
"860","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_IDL.P.txt.tab","Concentration of IDL particles",19273,NA,NA,11820652,870,"Metabolites","Males and females","metabolites__concentration_of_idl_particles.txt.gz"
"862","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_IDL.TG.txt.tab","Triglycerides in IDL",19273,NA,NA,11820642,872,"Metabolites","Males and females","metabolites__triglycerides_in_idl.txt.gz"
"865","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.HDL.CE.txt.tab","Cholesterol esters in large HDL",19273,NA,NA,11820655,875,"Metabolites","Males and females","metabolites__cholesterol_esters_in_large_hdl.txt.gz"
"867","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.HDL.L.txt.tab","Total lipids in large HDL",19273,NA,NA,11820655,877,"Metabolites","Males and females","metabolites__total_lipids_in_large_hdl.txt.gz"
"868","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.HDL.P.txt.tab","Concentration of large HDL particles",19273,NA,NA,11814787,878,"Metabolites","Males and females","metabolites__concentration_of_large_hdl_particles.txt.gz"
"869","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.HDL.PL.txt.tab","Phospholipids in large HDL",19273,NA,NA,11820655,879,"Metabolites","Males and females","metabolites__phospholipids_in_large_hdl.txt.gz"
"871","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.LDL.CE.txt.tab","Cholesterol esters in large VLDL",19273,NA,NA,11820655,881,"Metabolites","Males and females","metabolites__cholesterol_esters_in_large_vldl.txt.gz"
"873","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.LDL.L.txt.tab","Total lipids in large LDL",19273,NA,NA,11820652,883,"Metabolites","Males and females","metabolites__total_lipids_in_large_ldl.txt.gz"
"874","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.LDL.P.txt.tab","Concentration of large LDL particles",19273,NA,NA,11820653,884,"Metabolites","Males and females","metabolites__concentration_of_large_ldl_particles.txt.gz"
"886","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_LDL.D.txt.tab","Mean diameter for LDL particles",19273,NA,NA,11820640,896,"Metabolites","Males and females","metabolites__mean_diameter_for_ldl_particles.txt.gz"
"889","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.HDL.CE.txt.tab","Cholesterol esters in medium HDL",19273,NA,NA,11807639,899,"Metabolites","Males and females","metabolites__cholesterol_esters_in_medium_hdl.txt.gz"
"891","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.HDL.L.txt.tab","Total lipids in medium HDL",19273,NA,NA,11820655,901,"Metabolites","Males and females","metabolites__total_lipids_in_medium_hdl.txt.gz"
"892","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.HDL.P.txt.tab","Concentration of medium HDL particles",19273,NA,NA,11820655,902,"Metabolites","Males and females","metabolites__concentration_of_medium_hdl_particles.txt.gz"
"895","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.LDL.CE.txt.tab","Cholesterol esters in medium LDL",19273,NA,NA,11820631,905,"Metabolites","Males and females","metabolites__cholesterol_esters_in_medium_ldl.txt.gz"
"896","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.LDL.L.txt.tab","Total lipids in medium LDL",19273,NA,NA,11818458,906,"Metabolites","Males and females","metabolites__total_lipids_in_medium_ldl.txt.gz"
"897","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.LDL.P.txt.tab","Concentration of medium LDL particles",19273,NA,NA,11818918,907,"Metabolites","Males and females","metabolites__concentration_of_medium_ldl_particles.txt.gz"
"900","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.CE.txt.tab","Cholesterol esters in medium VLDL",19273,NA,NA,11820655,910,"Metabolites","Males and females","metabolites__cholesterol_esters_in_medium_vldl.txt.gz"
"902","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.L.txt.tab","Total lipids in medium VLDL",19273,NA,NA,11820655,912,"Metabolites","Males and females","metabolites__total_lipids_in_medium_vldl.txt.gz"
"903","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_M.VLDL.P.txt.tab","Concentration of medium VLDL particles",19273,NA,NA,11819006,913,"Metabolites","Males and females","metabolites__concentration_of_medium_vldl_particles.txt.gz"
"911","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.HDL.L.txt.tab","Total lipids in small HDL",19273,NA,NA,11805157,921,"Metabolites","Males and females","metabolites__total_lipids_in_small_hdl.txt.gz"
"912","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.HDL.P.txt.tab","Concentration of small HDL particles",19273,NA,NA,11820655,922,"Metabolites","Males and females","metabolites__concentration_of_small_hdl_particles.txt.gz"
"915","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.LDL.L.txt.tab","Total lipids in small LDL",19273,NA,NA,11820193,925,"Metabolites","Males and females","metabolites__total_lipids_in_small_ldl.txt.gz"
"916","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.LDL.P.txt.tab","Concentration of small LDL particles",19273,NA,NA,11820655,926,"Metabolites","Males and females","metabolites__concentration_of_small_ldl_particles.txt.gz"
"919","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.VLDL.L.txt.tab","Total lipids in small VLDL",19273,NA,NA,11817034,929,"Metabolites","Males and females","metabolites__total_lipids_in_small_vldl.txt.gz"
"920","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_S.VLDL.P.txt.tab","Concentration of small VLDL particles",19273,NA,NA,11820641,930,"Metabolites","Males and females","metabolites__concentration_of_small_vldl_particles.txt.gz"
"931","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_VLDL.D.txt.tab","Mean diameter for VLDL particles",19273,NA,NA,11820646,941,"Metabolites","Males and females","metabolites__mean_diameter_for_vldl_particles.txt.gz"
"933","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.CE.txt.tab","Cholesterol esters in very large HDL",19273,NA,NA,11806428,943,"Metabolites","Males and females","metabolites__cholesterol_esters_in_very_large_hdl.txt.gz"
"935","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.L.txt.tab","Total lipids in very large HDL",19273,NA,NA,11798042,945,"Metabolites","Males and females","metabolites__total_lipids_in_very_large_hdl.txt.gz"
"936","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.P.txt.tab","Concentration of very large HDL particles",19273,NA,NA,11820632,946,"Metabolites","Males and females","metabolites__concentration_of_very_large_hdl_particles.txt.gz"
"937","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.HDL.PL.txt.tab","Phospholipids in very large HDL",19273,NA,NA,11820655,947,"Metabolites","Males and females","metabolites__phospholipids_in_very_large_hdl.txt.gz"
"939","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.VLDL.L.txt.tab","Total lipids in very large VLDL",19273,NA,NA,11808241,949,"Metabolites","Males and females","metabolites__total_lipids_in_very_large_vldl.txt.gz"
"943","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XS.VLDL.L.txt.tab","Total lipids in very small VLDL",19273,NA,NA,11820654,953,"Metabolites","Males and females","metabolites__total_lipids_in_very_small_vldl.txt.gz"
"944","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XS.VLDL.P.txt.tab","Concentration of very small VLDL particles",19273,NA,NA,11797264,954,"Metabolites","Males and females","metabolites__concentration_of_very_small_vldl_particles.txt.gz"
"945","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XS.VLDL.PL.txt.tab","Phospholipids in very small VLDL",19273,NA,NA,11813718,955,"Metabolites","Males and females","metabolites__phospholipids_in_very_small_vldl.txt.gz"
"946","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XS.VLDL.TG.txt.tab","Triglycerides in very small VLDL",19273,NA,NA,11820655,956,"Metabolites","Males and females","metabolites__triglycerides_in_very_small_vldl.txt.gz"
"853","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Gp.txt.tab","Glycoprotein acetyls",19270,NA,NA,11820605,863,"Metabolites","Males and females","metabolites__glycoprotein_acetyls.txt.gz"
"828","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_AcAce.txt.tab","Acetoacetate",19262,NA,NA,11809755,838,"Metabolites","Males and females","metabolites__acetoacetate.txt.gz"
"856","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_His.txt.tab","Histidine",19244,NA,NA,11811025,866,"Metabolites","Males and females","metabolites__histidine.txt.gz"
"838","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_CH2.in.FA.txt.tab","Average number of methylene groups in a fatty acid chain",19021,NA,NA,11674953,848,"Metabolites","Males and females","metabolites__average_number_of_methylene_groups_in_a_fatty_acid_chain.txt.gz"
"831","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Alb.txt.tab","Albumin",18960,NA,NA,11703182,841,"Metabolites","Males and females","metabolites__albumin.txt.gz"
"879","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.VLDL.L.txt.tab","Total lipids in large VLDL",18960,NA,NA,11708802,889,"Metabolites","Males and females","metabolites__total_lipids_in_large_vldl.txt.gz"
"880","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_L.VLDL.P.txt.tab","Concentration of large VLDL particles",18960,NA,NA,11708802,890,"Metabolites","Males and females","metabolites__concentration_of_large_vldl_particles.txt.gz"
"940","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XL.VLDL.P.txt.tab","Concentration of very large VLDL particles",18960,NA,NA,11382413,950,"Metabolites","Males and females","metabolites__concentration_of_very_large_vldl_particles.txt.gz"
"947","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XXL.VLDL.L.txt.tab","Total lipids in chylomicrons and largest VLDL particles",18960,NA,NA,11708802,957,"Metabolites","Males and females","metabolites__total_lipids_in_chylomicrons_and_largest_vldl_particles.txt.gz"
"948","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_XXL.VLDL.P.txt.tab","Concentration of chylomicrons and largest VLDL particles",18960,NA,NA,11598671,958,"Metabolites","Males and females","metabolites__concentration_of_chylomicrons_and_largest_vldl_particles.txt.gz"
"929","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Urea.txt.tab","Urea",18814,NA,NA,11807298,939,"Metabolites","Males and females","metabolites__urea.txt.gz"
"795","/projects/MRC-IEU/publicdata/GWAS_summary_data/PGC","pgc.mdd.full.2012-04.txt.gz.tab","Major depressive disorder",18759,9240,9519,1235110,805,"Disease","Males and females","disease__major_depressive_disorder.txt.gz"
"852","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Gly.txt.tab","Glycoproteins",18734,NA,NA,11512434,862,"Metabolites","Males and females","metabolites__glycoproteins.txt.gz"
"955","/projects/MRC-IEU/publicdata/GWAS_summary_data/ILCCO","TRICL_ICR_MDACC_IARC_NIH_GWAMA_Adeno.rsid.txt.tab","Lung adenocarcinoma",18336,3442,14894,8881354,965,"Disease","Males and females","disease__lung_adenocarcinoma.txt.gz"
"957","/projects/MRC-IEU/publicdata/GWAS_summary_data/ILCCO","TRICL_ICR_MDACC_IARC_NIH_GWAMA_Squamous.rsid.txt.tab","Squamous cell lung cancer",18313,3275,15038,8893750,967,"Disease","Males and females","disease__squamous_cell_lung_cancer.txt.gz"
"35","/projects/MRC-IEU/publicdata/GWAS_summary_data/gcan","gcan_meta.out.gz.tab","Anorexia nervosa",17767,2907,14860,1149254,45,"Disease","Males and females","disease__anorexia_nervosa.txt.gz"
"103","/projects/MRC-IEU/publicdata/GWAS_summary_data/GPC","GPC-1.NEO-AGREEABLENESS.full.txt.tab","Neo-agreeableness",17375,NA,NA,2305462,113,"Risk factor","Males and females","risk_factor__neoagreeableness.txt.gz"
"104","/projects/MRC-IEU/publicdata/GWAS_summary_data/GPC","GPC-1.NEO-CONSCIENTIOUSNESS.full.txt.tab","Neo-conscientiousness",17375,NA,NA,2305683,114,"Risk factor","Males and females","risk_factor__neoconscientiousness.txt.gz"
"105","/projects/MRC-IEU/publicdata/GWAS_summary_data/GPC","GPC-1.NEO-EXTRAVERSION.full.txt.tab","Neo-extraversion",17375,NA,NA,2305823,115,"Risk factor","Males and females","risk_factor__neoextraversion.txt.gz"
"106","/projects/MRC-IEU/publicdata/GWAS_summary_data/GPC","GPC-1.NEO-NEUROTICISM.full.txt.tab","Neo-neuroticism",17375,NA,NA,2305739,116,"Risk factor","Males and females","risk_factor__neoneuroticism.txt.gz"
"107","/projects/MRC-IEU/publicdata/GWAS_summary_data/GPC","GPC-1.NEO-OPENNESS.full.txt.tab","Neo-openness to experience",17375,NA,NA,2305641,117,"Risk factor","Males and females","risk_factor__neoopenness_to_experience.txt.gz"
"791","/projects/MRC-IEU/publicdata/GWAS_summary_data/PGC","pgc.bip.full.2012-04.txt.gz.tab","Bipolar disorder",16731,7481,9250,2427221,801,"Disease","Males and females","disease__bipolar_disorder.txt.gz"
"76","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Waist2015","GIANT_EXTREME_HEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Extreme height",16196,8097,8099,1966557,86,"Risk factor","Males and females","risk_factor__extreme_height.txt.gz"
"75","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Waist2015","GIANT_EXTREME_BMI_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Extreme body mass index",16068,7962,8106,1984814,85,"Risk factor","Males and females","risk_factor__extreme_body_mass_index.txt.gz"
"269","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_ic_jia_hinks_UK_4_18_0.tab.tab","Juvenile idiopathic arthritis",15872,2816,13056,108294,279,"Disease","Males and females","disease__juvenile_idiopathic_arthritis.txt.gz"
"841","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_DB.in.FA.txt.tab","Average number of double bonds in a fatty acid chain",15728,NA,NA,11621406,851,"Metabolites","Males and females","metabolites__average_number_of_double_bonds_in_a_fatty_acid_chain.txt.gz"
"266","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_cel_dubois_4_19_1.tab","Celiac disease",15283,4533,10750,523399,276,"Disease","Males and females","disease__celiac_disease.txt.gz"
"746","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_2hrGlucose_AdjustedForBMI.txt.tab","2hr glucose",15234,NA,NA,2401709,756,"Risk factor","Males and females","risk_factor__2hr_glucose.txt.gz"
"1079","/projects/MRC-IEU/publicdata/GWAS_summary_data/EGG","EGG_Obesity_Meta_Analysis_1.txt.gz.tab","Childhood obesity",13848,5530,8318,2442739,1096,"Risk factor","Males and females","risk_factor__childhood_obesity.txt.gz"
"907","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_otPUFA.txt.tab","Other polyunsaturated fatty acids than 18:2",13549,NA,NA,11407336,917,"Metabolites","Males and females","metabolites__other_polyunsaturated_fatty_acids_than_182.txt.gz"
"845","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_FAw3.txt.tab","Omega-3 fatty acids",13544,NA,NA,11401623,855,"Metabolites","Males and females","metabolites__omega3_fatty_acids.txt.gz"
"908","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_PC.txt.tab","Phosphatidylcholine and other cholines",13542,NA,NA,11419086,918,"Metabolites","Males and females","metabolites__phosphatidylcholine_and_other_cholines.txt.gz"
"906","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_MUFA.txt.tab","Mono-unsaturated fatty acids",13535,NA,NA,11417715,916,"Metabolites","Males and females","metabolites__monounsaturated_fatty_acids.txt.gz"
"837","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_CH2.DB.ratio.txt.tab","Average number of methylene groups per double bond",13532,NA,NA,11416675,847,"Metabolites","Males and females","metabolites__average_number_of_methylene_groups_per_double_bond.txt.gz"
"883","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_LA.txt.tab","18:2, linoleic acid (LA)",13527,NA,NA,11417510,893,"Metabolites","Males and females","metabolites__182_linoleic_acid_la.txt.gz"
"834","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Bis.DB.ratio.txt.tab","Ratio of bisallylic groups to double bonds",13524,NA,NA,11408861,844,"Metabolites","Males and females","metabolites__ratio_of_bisallylic_groups_to_double_bonds.txt.gz"
"927","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_TotPG.txt.tab","Total phosphoglycerides",13519,NA,NA,11416877,937,"Metabolites","Males and females","metabolites__total_phosphoglycerides.txt.gz"
"846","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_FAw6.txt.tab","Omega-6 fatty acids",13506,NA,NA,11398837,856,"Metabolites","Males and females","metabolites__omega6_fatty_acids.txt.gz"
"847","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_FAw79S.txt.tab","Omega-9 and saturated fatty acids",13506,NA,NA,11412520,857,"Metabolites","Males and females","metabolites__omega9_and_saturated_fatty_acids.txt.gz"
"926","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Tot.FA.txt.tab","Total fatty acids",13505,NA,NA,11412092,936,"Metabolites","Males and females","metabolites__total_fatty_acids.txt.gz"
"842","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_DHA.txt.tab","22:6, docosahexaenoic acid",13499,NA,NA,11415610,852,"Metabolites","Males and females","metabolites__226_docosahexaenoic_acid.txt.gz"
"843","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Est.C.txt.tab","Free cholesterol to esterified cholesterol ratio",13497,NA,NA,11414918,853,"Metabolites","Males and females","metabolites__free_cholesterol_to_esterified_cholesterol_ratio.txt.gz"
"848","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Free.C.txt.tab","Free cholesterol",13497,NA,NA,11410176,858,"Metabolites","Males and females","metabolites__free_cholesterol.txt.gz"
"844","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_FALen.txt.tab","Description of average fatty acid chain length, not actual carbon number",13476,NA,NA,11409868,854,"Metabolites","Males and females","metabolites__description_of_average_fatty_acid_chain_length_not_actual_carbon_number.txt.gz"
