Name,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,P-value (Current vs. Never),FDR (Current vs. Never),Dose Response
cg03937290,II,1,"27,852,711",F,,-3.1E-06,8.9E-07,-3.50,4.6E-04,0.0015,1.82E-08,4.3E-06,1
cg22962923,II,1,"1,839,959",R,,-6.2E-06,1.6E-06,-3.82,1.3E-04,5.2E-04,1.82E-08,4.3E-06,1
cg25224090,II,7,"100,486,248",R,SRRT,-7.2E-06,1.6E-06,-4.38,1.2E-05,6.7E-05,1.83E-08,4.3E-06,1
cg04362790,I,14,"100,223,811",R,,-5.7E-06,1.8E-06,-3.18,0.0015,0.0040,1.83E-08,4.3E-06,1
cg26545040,I,19,"994,110",R,WDR18,-5.9E-06,2.5E-06,-2.42,0.0156,0.0289,1.83E-08,4.3E-06,1
cg18992688,II,1,"206,223,241",F,AVPR1B,-6.2E-06,1.1E-06,-5.44,5.2E-08,5.7E-07,1.84E-08,4.3E-06,1
cg05656900,II,2,"26,235,097",F,,-1.3E-05,2.5E-06,-5.09,3.6E-07,3.2E-06,1.84E-08,4.3E-06,1
cg25773386,II,3,"51,989,369",F,GPR62,4.2E-06,1.1E-06,3.69,2.2E-04,8.1E-04,1.84E-08,4.3E-06,1
cg21505886,II,4,"1,724,428",F,TMEM129;TACC3,-1.2E-05,1.7E-06,-7.00,2.5E-12,7.4E-11,1.84E-08,4.3E-06,1
cg04583842,I,16,"88,103,117",R,BANP,1.6E-05,3.1E-06,5.22,1.8E-07,1.7E-06,1.85E-08,4.4E-06,1
cg08857201,II,15,"56,536,865",F,RFX7,-3.9E-06,1.0E-06,-3.74,1.8E-04,6.8E-04,1.85E-08,4.4E-06,1
cg22820188,II,1,"156,086,004",R,LMNA,-3.1E-06,2.0E-06,-1.59,0.1127,0.1524,1.85E-08,4.4E-06,0
cg08173263,II,19,"14,276,911",R,LPHN1,2.3E-05,3.8E-06,5.90,3.6E-09,5.3E-08,1.85E-08,4.4E-06,1
cg13928733,I,9,"14,350,039",R,,-2.5E-06,2.2E-06,-1.13,0.2571,0.3070,1.87E-08,4.4E-06,0
cg24206827,II,2,"214,098,074",R,,-4.3E-06,1.4E-06,-3.06,0.0022,0.0057,1.90E-08,4.5E-06,1
cg07381806,I,19,"2,094,327",F,MOBKL2A,-2.7E-05,3.1E-06,-8.88,6.6E-19,5.1E-17,1.91E-08,4.5E-06,1
cg04387347,I,16,"88,537,187",R,ZFPM1,2.1E-05,2.9E-06,7.20,5.9E-13,1.9E-11,1.91E-08,4.5E-06,1
cg17580614,II,17,"15,849,512",F,ADORA2B,-1.8E-05,3.5E-06,-5.18,2.3E-07,2.1E-06,1.93E-08,4.5E-06,1
cg14294321,II,19,"12,895,288",F,,-5.4E-06,1.7E-06,-3.24,0.0012,0.0033,1.93E-08,4.5E-06,1
cg00647165,II,19,"15,550,850",R,WIZ,-4.2E-06,1.5E-06,-2.69,0.0071,0.0150,1.93E-08,4.5E-06,1
cg13049261,II,14,"99,879,199",F,SETD3,-4.9E-06,1.2E-06,-4.14,3.5E-05,1.7E-04,1.96E-08,4.6E-06,1
cg18533225,II,22,"50,986,813",R,KLHDC7B,-2.0E-05,3.0E-06,-6.85,7.5E-12,2.0E-10,2.00E-08,4.7E-06,1
cg06935361,II,13,"32,964,454",R,BRCA2,1.2E-05,2.2E-06,5.60,2.1E-08,2.6E-07,2.01E-08,4.7E-06,1
cg02364408,II,19,"16,627,498",R,C19orf44,2.2E-06,1.5E-06,1.45,0.1457,0.1894,2.02E-08,4.7E-06,0
cg07525886,II,17,"8,227,927",F,,4.3E-06,1.9E-06,2.27,0.0234,0.0406,2.02E-08,4.7E-06,1
cg26253500,II,7,"136,641,740",R,CHRM2,1.1E-05,3.0E-06,3.54,4.1E-04,0.0013,2.02E-08,4.7E-06,1
cg08540958,II,17,"32,582,246",R,CCL2,5.1E-06,1.4E-06,3.70,2.1E-04,7.7E-04,2.03E-08,4.7E-06,1
cg02544257,II,16,"70,510,663",R,FUK,-6.0E-06,1.7E-06,-3.56,3.7E-04,0.0012,2.06E-08,4.8E-06,1
cg27165835,II,10,"135,195,081",R,PAOX,9.5E-06,2.5E-06,3.86,1.1E-04,4.5E-04,2.06E-08,4.8E-06,1
cg24441922,II,2,"235,401,950",F,ARL4C,1.8E-05,2.6E-06,6.81,9.9E-12,2.5E-10,2.07E-08,4.8E-06,1
cg07715777,II,6,"33,128,963",F,,-4.8E-06,2.7E-06,-1.79,0.0737,0.1060,2.08E-08,4.9E-06,0
cg18747408,II,10,"130,841,097",R,,6.0E-06,1.3E-06,4.55,5.4E-06,3.3E-05,2.08E-08,4.9E-06,1
cg01552919,I,4,"901,847",R,GAK,4.7E-06,2.0E-06,2.36,0.0182,0.0329,2.08E-08,4.9E-06,1
cg01988129,II,8,"67,344,936",R,ADHFE1,1.4E-06,1.0E-06,1.41,0.1592,0.2043,2.09E-08,4.9E-06,0
cg06664254,II,16,"75,628,226",F,,6.8E-06,2.6E-06,2.66,0.0077,0.0161,2.09E-08,4.9E-06,1
cg05433557,II,7,"158,325,024",F,PTPRN2,1.3E-05,2.3E-06,5.82,5.9E-09,8.3E-08,2.10E-08,4.9E-06,1
cg13446906,II,13,"36,051,073",F,MIR548F5;NBEA;MAB21L1,-6.7E-06,2.6E-06,-2.59,0.0096,0.0194,2.11E-08,4.9E-06,1
cg11835355,II,22,"36,561,746",R,APOL3,-5.8E-06,1.9E-06,-3.07,0.0021,0.0055,2.13E-08,5.0E-06,1
cg04044720,II,3,"22,413,680",R,,7.4E-06,1.3E-06,5.47,4.5E-08,5.0E-07,2.13E-08,5.0E-06,1
cg23374700,II,18,"78,005,593",F,PARD6G,1.2E-06,9.3E-07,1.34,0.1817,0.2285,2.13E-08,5.0E-06,0
cg26249245,II,7,"101,915,942",R,CUX1,-6.3E-06,1.6E-06,-3.86,1.1E-04,4.5E-04,2.14E-08,5.0E-06,1
cg02560388,II,2,"11,969,958",R,,-5.3E-06,1.4E-06,-3.86,1.1E-04,4.6E-04,2.15E-08,5.0E-06,1
cg15806304,II,10,"119,000,083",R,SLC18A2,4.5E-06,1.9E-06,2.40,0.0166,0.0305,2.15E-08,5.0E-06,1
cg23098529,II,19,"10,216,651",R,PPAN;PPAN-P2RY11,-3.5E-06,1.9E-06,-1.88,0.0599,0.0891,2.18E-08,5.0E-06,0
cg03696346,II,10,"44,101,789",F,ZNF485,2.5E-06,1.1E-06,2.19,0.0288,0.0483,2.18E-08,5.1E-06,1
cg08806699,II,1,"10,057,970",R,RBP7,2.5E-06,1.2E-06,1.97,0.0490,0.0754,2.18E-08,5.1E-06,0
cg07622766,II,3,"46,547,809",R,,1.7E-06,1.3E-06,1.24,0.2156,0.2650,2.19E-08,5.1E-06,0
cg25838968,II,1,"208,250,847",F,PLXNA2,-1.4E-05,2.5E-06,-5.44,5.4E-08,5.8E-07,2.19E-08,5.1E-06,1
cg01362115,II,15,"68,075,218",R,MAP2K5,-3.0E-06,1.1E-06,-2.66,0.0078,0.0162,2.20E-08,5.1E-06,1
cg00041989,II,17,"55,828,038",F,,5.9E-06,1.6E-06,3.74,1.8E-04,6.8E-04,2.22E-08,5.1E-06,1
cg22952787,II,13,"77,567,402",F,CLN5,-9.0E-06,2.5E-06,-3.68,2.3E-04,8.3E-04,2.22E-08,5.1E-06,1
cg20249566,II,19,"16,830,739",R,NWD1,-3.0E-05,3.9E-06,-7.55,4.2E-14,1.7E-12,2.23E-08,5.1E-06,1
cg16331492,II,2,"107,456,855",F,ST6GAL2,1.4E-05,2.6E-06,5.33,1.0E-07,1.0E-06,2.23E-08,5.1E-06,1
cg03685475,II,22,"41,597,321",F,,9.7E-06,2.0E-06,4.77,1.8E-06,1.3E-05,2.23E-08,5.1E-06,1
cg23917006,II,1,"43,207,294",F,CLDN19,1.4E-06,1.2E-06,1.10,0.2711,0.3214,2.23E-08,5.1E-06,0
cg10855746,II,14,"61,938,004",F,PRKCH,-4.3E-06,1.6E-06,-2.68,0.0074,0.0156,2.23E-08,5.1E-06,1
cg01177100,II,3,"9,176,211",R,SRGAP3,7.7E-06,1.5E-06,5.27,1.3E-07,1.3E-06,2.25E-08,5.2E-06,1
cg01972009,II,11,"67,273,431",F,PITPNM1,-1.1E-05,1.7E-06,-6.19,6.0E-10,1.1E-08,2.27E-08,5.2E-06,1
cg18946533,II,15,"78,384,840",F,SH2D7,6.6E-06,2.0E-06,3.30,9.6E-04,0.0028,2.27E-08,5.2E-06,1
cg25799109,II,3,"57,102,900",F,ARHGEF3;SPATA12,-1.7E-05,2.7E-06,-6.44,1.2E-10,2.6E-09,2.27E-08,5.2E-06,1
cg03471436,II,1,"204,046,026",F,SOX13,-4.8E-06,1.3E-06,-3.82,1.3E-04,5.3E-04,2.28E-08,5.2E-06,1
cg11597157,I,15,"90,171,643",F,KIF7,-3.9E-06,1.2E-06,-3.38,7.4E-04,0.0022,2.29E-08,5.3E-06,1
cg08732950,II,16,"89,023,389",F,CBFA2T3,9.7E-06,2.5E-06,3.92,8.8E-05,3.7E-04,2.30E-08,5.3E-06,1
cg06930757,II,19,"51,216,389",F,SHANK1,8.4E-06,2.2E-06,3.91,9.3E-05,3.9E-04,2.30E-08,5.3E-06,1
cg01328473,II,2,"1,711,966",R,PXDN,-7.2E-06,2.6E-06,-2.80,0.0051,0.0114,2.31E-08,5.3E-06,1
cg18187035,II,20,"62,434,097",F,ZBTB46,-8.2E-06,3.2E-06,-2.61,0.0091,0.0185,2.31E-08,5.3E-06,1
cg03379100,I,7,"128,494,225",R,FLNC,-6.9E-06,1.5E-06,-4.65,3.4E-06,2.2E-05,2.33E-08,5.3E-06,1
cg16694480,II,1,"19,732,786",R,CAPZB,8.3E-06,2.2E-06,3.85,1.2E-04,4.7E-04,2.34E-08,5.4E-06,1
cg15251319,I,3,"194,836,302",R,C3orf21,1.0E-05,1.6E-06,6.28,3.4E-10,6.5E-09,2.34E-08,5.4E-06,1
cg01962471,II,6,"157,876,936",F,ZDHHC14,3.2E-06,1.2E-06,2.57,0.0102,0.0204,2.35E-08,5.4E-06,1
cg13718185,I,8,"22,877,275",F,RHOBTB2,3.6E-06,1.5E-06,2.50,0.0123,0.0238,2.37E-08,5.4E-06,1
cg24981097,II,13,"99,224,694",F,STK24,-8.5E-06,2.0E-06,-4.22,2.5E-05,1.2E-04,2.37E-08,5.4E-06,1
cg00028013,II,15,"74,218,697",R,LOXL1,-6.1E-06,2.2E-06,-2.77,0.0057,0.0124,2.37E-08,5.4E-06,1
cg00210249,II,10,"71,135,679",R,HK1,1.3E-05,3.2E-06,4.06,4.9E-05,2.2E-04,2.38E-08,5.4E-06,1
cg00066351,II,7,"150,130,551",R,,1.1E-05,2.1E-06,5.23,1.7E-07,1.6E-06,2.38E-08,5.4E-06,1
cg13445251,II,19,"56,156,542",F,ZNF581,-1.9E-06,1.3E-06,-1.52,0.1286,0.1706,2.38E-08,5.4E-06,0
cg26964651,II,5,"77,949,077",R,,-2.3E-05,3.3E-06,-6.88,6.1E-12,1.7E-10,2.38E-08,5.4E-06,1
cg17586094,II,2,"235,244,520",R,,-8.3E-06,3.0E-06,-2.77,0.0056,0.0123,2.39E-08,5.5E-06,1
cg17576979,II,6,"156,829,046",F,,3.6E-06,2.5E-06,1.46,0.1431,0.1866,2.40E-08,5.5E-06,0
cg11146034,II,12,"96,590,670",F,ELK3,-1.1E-05,2.2E-06,-5.19,2.1E-07,1.9E-06,2.43E-08,5.5E-06,1
cg09453076,I,2,"235,406,275",F,ARL4C,-1.0E-05,2.2E-06,-4.78,1.7E-06,1.2E-05,2.43E-08,5.5E-06,1
cg04469167,II,9,"27,529,907",F,MOBKL2B,7.1E-07,1.0E-06,0.70,0.4854,0.5332,2.43E-08,5.5E-06,0
cg00395063,II,11,"120,210,293",F,ARHGEF12,3.3E-06,1.8E-06,1.85,0.0640,0.0943,2.43E-08,5.5E-06,0
cg02994349,II,1,"66,999,753",R,SGIP1,7.4E-06,1.5E-06,5.06,4.2E-07,3.6E-06,2.44E-08,5.6E-06,1
cg08587504,II,20,"34,639,686",F,LOC647979,7.6E-06,1.6E-06,4.82,1.5E-06,1.1E-05,2.47E-08,5.6E-06,1
cg17483411,II,5,"72,114,851",F,TNPO1,-7.9E-06,1.5E-06,-5.34,9.3E-08,9.5E-07,2.47E-08,5.6E-06,1
cg21063758,II,15,"74,422,761",F,ISLR2;LOC283731,2.4E-06,1.3E-06,1.90,0.0569,0.0853,2.48E-08,5.6E-06,0
cg18663307,II,21,"46,341,389",F,ITGB2,7.3E-06,2.3E-06,3.12,0.0018,0.0047,2.48E-08,5.6E-06,1
cg14264316,II,9,"134,280,803",R,,-1.9E-05,2.2E-06,-8.66,4.7E-18,3.3E-16,2.48E-08,5.6E-06,1
cg25745937,II,13,"113,630,173",R,MCF2L,2.6E-06,1.2E-06,2.22,0.0263,0.0446,2.48E-08,5.6E-06,1
cg10583893,II,19,"53,039,743",R,ZNF808,6.4E-06,1.9E-06,3.35,8.1E-04,0.0024,2.49E-08,5.6E-06,1
cg00566158,II,7,"157,461,108",R,PTPRN2,7.6E-06,1.8E-06,4.32,1.6E-05,8.4E-05,2.50E-08,5.7E-06,1
cg09639152,II,3,"45,078,075",R,,-1.4E-05,3.3E-06,-4.21,2.5E-05,1.3E-04,2.50E-08,5.7E-06,1
cg24924577,II,15,"90,735,148",R,SEMA4B,1.2E-05,2.2E-06,5.51,3.6E-08,4.1E-07,2.50E-08,5.7E-06,1
cg14292572,II,12,"67,665,055",F,CAND1,-1.0E-05,2.4E-06,-4.44,9.1E-06,5.2E-05,2.50E-08,5.7E-06,1
cg13917614,I,17,"40,125,660",R,CNP,1.9E-06,2.0E-06,0.96,0.3352,0.3862,2.51E-08,5.7E-06,0
cg24848615,II,19,"3,368,396",R,NFIC,-1.6E-05,2.4E-06,-6.52,7.0E-11,1.5E-09,2.52E-08,5.7E-06,1
cg17490844,II,2,"129,039,085",R,HS6ST1,-4.8E-06,1.3E-06,-3.77,1.6E-04,6.2E-04,2.54E-08,5.7E-06,1
cg08525314,I,19,"1,854,819",F,KLF16,-6.5E-06,2.5E-06,-2.63,0.0086,0.0177,2.54E-08,5.7E-06,1
cg15971656,II,11,"368,366",R,B4GALNT4,-4.8E-07,2.9E-06,-0.17,0.8687,0.8861,2.57E-08,5.8E-06,0
cg19825856,II,2,"107,501,733",R,ST6GAL2,3.8E-06,1.2E-06,3.10,0.0019,0.0050,2.57E-08,5.8E-06,1
cg14602222,I,12,"1,025,663",R,RAD52,1.6E-05,3.3E-06,4.78,1.8E-06,1.3E-05,2.57E-08,5.8E-06,1
cg05214460,II,10,"111,766,841",F,ADD3,-4.4E-06,2.2E-06,-1.96,0.0497,0.0763,2.58E-08,5.8E-06,0
cg00481629,II,22,"48,972,850",F,FAM19A5,1.9E-06,1.1E-06,1.64,0.1005,0.1383,2.59E-08,5.8E-06,0
cg23261640,I,11,"70,280,489",F,CTTN,-8.7E-06,2.3E-06,-3.75,1.7E-04,6.6E-04,2.59E-08,5.8E-06,1
cg06521359,II,1,"203,767,572",R,ZC3H11A,2.4E-06,1.1E-06,2.21,0.0268,0.0454,2.60E-08,5.8E-06,1
cg09479241,I,17,"27,052,676",F,TLCD1,-2.1E-05,3.4E-06,-6.19,6.2E-10,1.1E-08,2.61E-08,5.9E-06,1
cg16342298,II,1,"47,902,085",F,FOXD2,6.5E-06,3.6E-06,1.79,0.0741,0.1066,2.61E-08,5.9E-06,0
cg22042546,II,1,"27,050,491",R,ARID1A,1.0E-05,1.7E-06,5.98,2.3E-09,3.5E-08,2.65E-08,6.0E-06,1
cg17617843,II,5,"34,043,454",F,C1QTNF3,5.2E-06,1.4E-06,3.76,1.7E-04,6.4E-04,2.66E-08,6.0E-06,1
cg18669588,II,3,"52,274,051",F,TWF2,-8.1E-06,1.4E-06,-5.66,1.5E-08,1.9E-07,2.67E-08,6.0E-06,1
cg20268522,II,11,"112,832,152",R,NCAM1,1.4E-06,7.0E-07,2.01,0.0446,0.0697,2.68E-08,6.0E-06,0
cg06435765,II,18,"596,713",R,CLUL1,3.7E-06,2.2E-06,1.67,0.0943,0.1310,2.69E-08,6.0E-06,0
cg25466245,II,1,"223,407,095",R,SUSD4,-1.1E-05,1.4E-06,-7.55,4.2E-14,1.7E-12,2.69E-08,6.0E-06,1
cg14244402,II,9,"130,681,102",F,,-1.7E-05,2.2E-06,-7.77,7.6E-15,3.4E-13,2.70E-08,6.0E-06,1
cg24714606,II,13,"98,019,621",R,MBNL2,2.1E-06,1.8E-06,1.18,0.2373,0.2873,2.71E-08,6.1E-06,0
cg05677062,I,12,"123,874,707",F,SETD8,-2.5E-05,2.8E-06,-8.95,3.4E-19,2.7E-17,2.72E-08,6.1E-06,1
cg20611882,I,1,"68,696,709",F,GPR177,4.5E-06,1.4E-06,3.27,0.0011,0.0031,2.73E-08,6.1E-06,1
cg23221603,II,2,"26,963,883",F,,5.5E-07,7.7E-07,0.72,0.4737,0.5218,2.75E-08,6.1E-06,0
cg06968912,II,17,"40,573,643",F,PTRF,1.2E-06,1.4E-06,0.90,0.3655,0.4159,2.75E-08,6.2E-06,0
cg03745160,I,19,"17,393,902",F,ANKLE1,-1.0E-05,2.2E-06,-4.60,4.3E-06,2.8E-05,2.78E-08,6.2E-06,1
cg00835193,II,19,"2,291,780",R,LINGO3,-2.3E-05,2.5E-06,-9.20,3.4E-20,3.0E-18,2.79E-08,6.2E-06,1
cg02064724,II,14,"74,179,953",R,PNMA1,-3.5E-06,9.2E-07,-3.78,1.6E-04,6.1E-04,2.79E-08,6.2E-06,1
cg01360605,II,20,"58,983,676",R,,7.9E-06,2.7E-06,2.98,0.0029,0.0070,2.80E-08,6.2E-06,1
cg23395310,II,9,"139,623,427",F,SNHG7,-1.1E-05,2.4E-06,-4.71,2.5E-06,1.7E-05,2.81E-08,6.3E-06,1
cg03641640,I,13,"114,776,416",F,RASA3,-1.0E-05,1.6E-06,-6.14,8.1E-10,1.4E-08,2.81E-08,6.3E-06,1
cg10001715,II,16,"78,345,421",F,WWOX,7.0E-06,1.9E-06,3.65,2.6E-04,9.3E-04,2.82E-08,6.3E-06,1
cg05953373,II,16,"89,023,633",F,CBFA2T3,6.1E-06,3.3E-06,1.86,0.0632,0.0932,2.82E-08,6.3E-06,0
cg02543363,II,X,"129,252,577",F,,-5.5E-06,2.2E-06,-2.52,0.0117,0.0229,2.83E-08,6.3E-06,1
cg17533477,II,7,"97,501,010",R,ASNS,-1.6E-05,1.9E-06,-8.53,1.5E-17,9.6E-16,2.85E-08,6.3E-06,1
cg21949830,I,17,"1,510,041",R,SLC43A2,-6.6E-06,1.6E-06,-4.01,6.1E-05,2.7E-04,2.85E-08,6.3E-06,1
cg00498211,II,2,"65,217,568",R,SLC1A4,-2.1E-05,3.4E-06,-6.17,6.9E-10,1.2E-08,2.86E-08,6.4E-06,1
cg05661533,II,5,"1,495,043",R,LPCAT1,-1.0E-05,2.0E-06,-4.89,1.0E-06,7.8E-06,2.87E-08,6.4E-06,1
cg12864721,I,10,"77,164,987",R,C10orf41,-2.1E-05,3.8E-06,-5.58,2.4E-08,2.9E-07,2.87E-08,6.4E-06,1
cg11095099,II,3,"195,604,374",R,TNK2,-2.8E-06,1.4E-06,-1.98,0.0475,0.0736,2.89E-08,6.4E-06,0
cg01748082,II,9,"137,772,580",F,FCN2,5.5E-06,1.6E-06,3.51,4.5E-04,0.0015,2.90E-08,6.4E-06,1
cg02462353,I,19,"55,549,799",R,GP6,-1.5E-05,4.4E-06,-3.52,4.3E-04,0.0014,2.90E-08,6.4E-06,1
cg22006825,II,19,"41,771,771",F,HNRNPUL1,-9.7E-06,1.3E-06,-7.30,2.9E-13,9.9E-12,2.90E-08,6.4E-06,1
cg17127702,II,1,"226,594,323",R,PARP1,-2.9E-06,1.4E-06,-2.06,0.0395,0.0630,2.91E-08,6.4E-06,0
cg00853733,I,12,"122,244,223",F,SETD1B,-1.4E-05,2.3E-06,-5.88,4.1E-09,6.0E-08,2.92E-08,6.5E-06,1
cg16764781,II,3,"189,347,820",R,TP63,-8.1E-06,3.1E-06,-2.60,0.0094,0.0190,2.94E-08,6.5E-06,1
cg10395806,I,11,"70,280,601",R,CTTN,-1.2E-05,2.8E-06,-4.47,7.7E-06,4.5E-05,2.95E-08,6.5E-06,1
cg23667432,II,2,"233,244,439",F,ALPP,-2.0E-05,1.7E-06,-11.88,1.6E-32,3.5E-30,2.97E-08,6.6E-06,1
cg22586569,II,7,"5,524,963",F,FBXL18,-1.2E-05,2.7E-06,-4.47,7.8E-06,4.6E-05,2.98E-08,6.6E-06,1
cg14291900,II,14,"23,294,368",R,,2.8E-06,1.2E-06,2.43,0.0152,0.0283,3.00E-08,6.6E-06,1
cg25996077,II,2,"228,331,319",R,,-5.9E-06,1.8E-06,-3.18,0.0015,0.0039,3.00E-08,6.6E-06,1
cg03785076,II,2,"241,936,915",R,SNED1,-7.2E-06,1.8E-06,-4.06,4.9E-05,2.2E-04,3.01E-08,6.7E-06,1
cg05256179,II,6,"31,658,176",F,BAT5,-5.4E-06,1.1E-06,-4.73,2.3E-06,1.6E-05,3.01E-08,6.7E-06,1
cg22313519,II,19,"18,385,724",R,KIAA1683,-1.3E-05,1.7E-06,-7.69,1.5E-14,6.4E-13,3.02E-08,6.7E-06,1
cg24683623,II,4,"123,747,447",F,FGF2,-9.8E-06,2.2E-06,-4.35,1.3E-05,7.4E-05,3.02E-08,6.7E-06,1
cg07967717,II,1,"24,229,682",F,CNR2,9.8E-06,1.7E-06,5.78,7.4E-09,1.0E-07,3.03E-08,6.7E-06,1
cg13328614,II,X,"48,775,123",F,PIM2,-1.5E-05,2.1E-06,-6.92,4.7E-12,1.3E-10,3.04E-08,6.7E-06,1
cg21201401,I,20,"62,367,884",R,LIME1,1.3E-05,3.2E-06,3.99,6.7E-05,2.9E-04,3.04E-08,6.7E-06,1
cg13300480,II,1,"64,485,696",F,ROR1,6.9E-06,1.2E-06,5.61,2.1E-08,2.5E-07,3.05E-08,6.7E-06,1
cg14544289,I,14,"78,051,204",F,SPTLC2,-1.1E-05,1.9E-06,-5.49,4.0E-08,4.4E-07,3.06E-08,6.7E-06,1
cg22437987,II,17,"3,820,910",R,P2RX1,-5.0E-08,1.2E-06,-0.04,0.9652,0.9697,3.06E-08,6.7E-06,0
cg05575505,II,15,"101,262,162",F,,3.1E-06,2.6E-06,1.19,0.2336,0.2833,3.07E-08,6.8E-06,0
cg22876908,II,12,"56,325,149",F,DGKA,-1.5E-05,1.8E-06,-8.39,5.0E-17,3.1E-15,3.11E-08,6.8E-06,1
cg13127741,II,20,"31,331,821",F,COMMD7,-1.6E-05,2.3E-06,-6.72,1.8E-11,4.5E-10,3.11E-08,6.8E-06,1
cg26351966,II,10,"102,106,080",R,SCD,5.4E-06,1.6E-06,3.35,8.2E-04,0.0024,3.11E-08,6.8E-06,1
cg23329061,II,3,"32,914,427",F,TRIM71,2.1E-06,1.1E-06,1.87,0.0619,0.0915,3.12E-08,6.8E-06,0
cg26021810,II,1,"200,841,646",R,GPR25,1.2E-06,1.7E-06,0.72,0.4719,0.5201,3.12E-08,6.9E-06,0
cg19213703,II,3,"177,554,561",R,,-3.7E-06,2.3E-06,-1.60,0.1106,0.1500,3.14E-08,6.9E-06,0
cg01858866,II,1,"40,040,016",R,PABPC4,-1.5E-05,2.0E-06,-7.36,1.8E-13,6.4E-12,3.14E-08,6.9E-06,1
cg20533952,I,21,"43,198,601",F,,6.9E-06,2.1E-06,3.27,0.0011,0.0031,3.15E-08,6.9E-06,1
cg14222656,I,22,"24,820,518",R,,-3.7E-06,1.1E-06,-3.46,5.4E-04,0.0017,3.15E-08,6.9E-06,1
cg26189283,II,1,"155,109,378",F,RAG1AP1,-2.3E-05,3.3E-06,-7.04,2.0E-12,5.9E-11,3.16E-08,6.9E-06,1
cg04420138,II,11,"113,932,235",R,ZBTB16,3.6E-06,9.1E-07,3.94,8.2E-05,3.5E-04,3.16E-08,6.9E-06,1
cg10334928,II,14,"81,865,007",R,STON2,5.3E-06,1.2E-06,4.29,1.8E-05,9.6E-05,3.16E-08,6.9E-06,1
cg01787285,II,1,"2,162,682",R,SKI,-4.1E-06,1.9E-06,-2.13,0.0328,0.0539,3.16E-08,6.9E-06,0
cg27449150,II,1,"118,197,326",F,,-1.1E-05,1.6E-06,-7.05,1.8E-12,5.5E-11,3.18E-08,6.9E-06,1
cg01052864,II,5,"215,875",R,CCDC127,-4.8E-06,3.4E-06,-1.39,0.1634,0.2087,3.18E-08,6.9E-06,0
cg17403397,II,2,"145,282,262",F,,2.4E-06,1.8E-06,1.34,0.1800,0.2267,3.19E-08,7.0E-06,0
cg06293169,II,16,"2,803,839",R,SRRM2;LOC100128788,-7.1E-06,1.4E-06,-5.12,3.0E-07,2.7E-06,3.20E-08,7.0E-06,1
cg02388253,II,9,"123,640,363",F,PHF19,-5.1E-06,1.5E-06,-3.36,7.7E-04,0.0023,3.22E-08,7.0E-06,1
cg11415739,II,1,"211,508,890",F,TRAF5,5.0E-06,1.5E-06,3.34,8.4E-04,0.0025,3.22E-08,7.0E-06,1
cg26751513,II,16,"1,542,910",R,TELO2,-1.0E-05,2.2E-06,-4.68,2.8E-06,1.9E-05,3.23E-08,7.0E-06,1
cg02270010,I,5,"175,958,651",F,RNF44,-7.1E-06,2.2E-06,-3.15,0.0016,0.0044,3.24E-08,7.1E-06,1
cg15726557,II,19,"617,267",R,POLRMT,-3.4E-06,1.9E-06,-1.85,0.0646,0.0949,3.24E-08,7.1E-06,0
cg02402368,II,8,"6,420,726",R,ANGPT2;MCPH1,-2.4E-05,3.8E-06,-6.40,1.5E-10,3.1E-09,3.25E-08,7.1E-06,1
cg26539631,II,6,"32,097,439",F,ATF6B;FKBPL,-7.8E-06,1.8E-06,-4.40,1.1E-05,6.1E-05,3.27E-08,7.1E-06,1
cg15087369,II,1,"226,681,523",F,,6.5E-06,1.5E-06,4.45,8.5E-06,5.0E-05,3.28E-08,7.1E-06,1
cg10549018,II,10,"98,176,740",R,TLL2,1.1E-05,2.5E-06,4.29,1.8E-05,9.4E-05,3.28E-08,7.1E-06,1
cg15871086,II,18,"56,526,595",F,,-1.1E-05,1.8E-06,-6.00,2.0E-09,3.2E-08,3.28E-08,7.1E-06,1
cg09974965,II,14,"106,361,640",F,,-1.3E-05,2.0E-06,-6.46,1.1E-10,2.3E-09,3.32E-08,7.2E-06,1
cg17931529,I,19,"2,080,023",R,MOBKL2A,-2.1E-06,1.4E-06,-1.55,0.1202,0.1610,3.34E-08,7.2E-06,0
cg00281776,II,2,"209,224,225",R,,3.8E-06,1.8E-06,2.07,0.0381,0.0611,3.35E-08,7.3E-06,0
cg07506795,II,16,"71,523,560",R,ZNF19,-5.0E-07,2.7E-06,-0.18,0.8534,0.8726,3.35E-08,7.3E-06,0
cg06817455,II,1,"212,626,474",F,,3.0E-06,1.5E-06,1.95,0.0506,0.0775,3.35E-08,7.3E-06,0
cg05318210,II,2,"145,780,010",F,,8.9E-06,2.1E-06,4.32,1.6E-05,8.4E-05,3.39E-08,7.3E-06,1
cg26219092,II,8,"134,388,022",F,,2.6E-06,1.2E-06,2.21,0.0274,0.0462,3.40E-08,7.4E-06,1
cg10700718,II,8,"1,992,719",F,MYOM2,6.2E-06,2.7E-06,2.31,0.0210,0.0371,3.41E-08,7.4E-06,1
cg00022866,II,11,"64,108,440",F,CCDC88B,-1.5E-05,3.5E-06,-4.38,1.2E-05,6.6E-05,3.42E-08,7.4E-06,1
cg03384915,II,19,"16,986,822",R,SIN3B,-1.3E-05,1.8E-06,-6.87,6.4E-12,1.7E-10,3.42E-08,7.4E-06,1
